section,item,detail
6. Functions,current_user_role," -> user_role_type [SECURITY DEFINER] [search_path=pg_catalog, public]"
6. Functions,normalize_ph_phone,"raw text -> text [search_path=pg_catalog, public]"
6. Functions,replace_expense_allocations,"p_entry_id uuid, p_allocations jsonb -> integer [search_path=pg_catalog, public]"
6. Functions,update_expense_entry_total," -> trigger [search_path=pg_catalog, public]"
7. Triggers,expense_property_allocations.trg_update_expense_total,CREATE TRIGGER trg_update_expense_total AFTER INSERT OR DELETE OR UPDATE ON public.expense_property_allocations FOR EACH ROW EXECUTE FUNCTION update_expense_entry_total()
8. RLS,audit_logs,"enabled, forced, 0 policies"
8. RLS,bills,"enabled, forced, 0 policies"
8. RLS,clusters,"enabled, forced, 0 policies"
8. RLS,expense_property_allocations,"enabled, forced, 0 policies"
8. RLS,fixed_expense_categories,"enabled, forced, 0 policies"
8. RLS,inquiries,"enabled, forced, 0 policies"
8. RLS,inquiry_messages,"enabled, forced, 0 policies"
8. RLS,maintenance_tickets,"enabled, forced, 0 policies"
8. RLS,monthly_expense_entries,"enabled, forced, 0 policies"
8. RLS,monthly_income_records,"enabled, forced, 0 policies"
8. RLS,notifications,"enabled, forced, 0 policies"
8. RLS,payments,"enabled, forced, 0 policies"
8. RLS,profiles,"enabled, forced, 0 policies"
8. RLS,property_areas,"enabled, forced, 0 policies"
8. RLS,room_assignments,"enabled, forced, 0 policies"
8. RLS,room_photos,"enabled, forced, 0 policies"
8. RLS,room_price_history,"enabled, forced, 0 policies"
8. RLS,rooms,"enabled, forced, 0 policies"
8. RLS,system_settings,"enabled, forced, 0 policies"
8. RLS,ticket_attachments,"enabled, forced, 0 policies"
8. RLS,ticket_messages,"enabled, forced, 0 policies"
9. Row counts,audit_logs,1733
9. Row counts,bills,2
9. Row counts,clusters,5
9. Row counts,expense_property_allocations,1327
9. Row counts,fixed_expense_categories,13
9. Row counts,inquiries,2
9. Row counts,inquiry_messages,2
9. Row counts,maintenance_tickets,5
9. Row counts,monthly_expense_entries,1262
9. Row counts,monthly_income_records,937
9. Row counts,notifications,14
9. Row counts,payments,15
9. Row counts,profiles,45
9. Row counts,property_areas,6
9. Row counts,room_assignments,48
9. Row counts,room_photos,1
9. Row counts,room_price_history,0
9. Row counts,rooms,33
9. Row counts,system_settings,6
9. Row counts,ticket_attachments,2
9. Row counts,ticket_messages,2
